date,cash,position_value,nav
2025-05-05,92635.3755,23509.5,116144.8755
2025-05-06,92635.3755,23224.66,115860.0355
2025-05-07,92635.3755,23503.66,116139.0355
2025-05-08,92635.3755,24070.08,116705.4555
2025-05-09,92635.3755,24672.36,117307.7355
2025-05-12,92635.3755,26505.44,119140.8155
2025-05-13,92635.3755,27313.22,119948.5955
2025-05-14,92635.3755,27783.7,120419.0755
2025-05-15,92635.3755,27254.02,119889.3955
2025-05-16,92635.3755,27568.14,120203.5155
2025-05-19,92635.3755,27290.16,119925.5355
2025-05-20,92635.3755,27221.42,119856.7955
2025-05-21,92635.3755,26658.72,119294.0955
2025-05-22,92635.3755,27046.2,119681.5755
2025-05-23,92635.3755,26838.94,119474.3155
2025-05-27,92635.3755,28112.92,120748.2955
2025-05-28,92635.3755,27787.52,120422.8955
2025-05-29,92635.3755,27913.4,120548.7755
2025-05-30,92635.3755,27389.06,120024.4355
2025-06-02,106495.0164,13638.9,120133.9164
2025-06-03,106495.0164,13576.86,120071.8764
2025-06-04,106495.0164,13677.18,120172.1964
2025-06-05,106495.0164,13722.06,120217.0764
2025-06-06,106495.0164,14095.62,120590.6364
2025-06-09,106495.0164,14320.68,120815.6964
2025-06-10,94118.6896,26427.59,120546.2796
2025-06-11,94118.6896,26149.11,120267.7996
2025-06-12,94118.6896,25880.91,119999.5996
2025-06-13,94118.6896,26035.07,120153.7596
2025-06-16,94118.6896,26440.41,120559.0996
2025-06-17,94118.6896,25883.07,120001.7596
2025-06-18,94118.6896,25942.17,120060.8596
2025-06-20,94118.6896,25759.46,119878.1496
2025-06-23,94118.6896,26660.18,120778.8696
2025-06-24,94118.6896,26640.21,120758.8996
2025-06-25,94118.6896,26110.69,120229.3796
2025-06-26,94118.6896,26383.78,120502.4696
2025-06-27,94118.6896,26712.11,120830.7996
2025-06-30,94118.6896,26233.16,120351.8496
2025-07-01,105682.5294,14550.36,120232.8894
2025-07-02,105682.5294,14514.72,120197.2494
2025-07-03,105682.5294,14745.06,120427.5894
2025-07-07,105682.5294,14749.02,120431.5494
2025-07-08,105682.5294,14477.76,120160.2894
2025-07-09,105682.5294,14687.64,120370.1694
2025-07-10,105682.5294,14669.16,120351.6894
2025-07-11,93854.5355,26730.9367,120585.4722
2025-07-14,93854.5355,26685.9564,120540.4919
2025-07-15,93854.5355,27156.4402,121010.9757
2025-07-16,93854.5355,26979.3323,120833.8678
2025-07-17,93854.5355,27439.4214,121293.9569
2025-07-18,93854.5355,27319.8051,121174.3406
2025-07-21,93854.5355,27449.1058,121303.6413
2025-07-22,93854.5355,27109.1922,120963.7277
2025-07-23,93854.5355,27458.7558,121313.2913
