date,cash,position_value,nav
2022-11-01,101472.0026,0.0,101472.0026
2022-11-02,101472.0026,0.0,101472.0026
2022-11-03,101472.0026,0.0,101472.0026
2022-11-04,101472.0026,0.0,101472.0026
2022-11-07,101472.0026,0.0,101472.0026
2022-11-08,101472.0026,0.0,101472.0026
2022-11-09,101472.0026,0.0,101472.0026
2022-11-10,101472.0026,0.0,101472.0026
2022-11-11,101472.0026,0.0,101472.0026
2022-11-14,101472.0026,0.0,101472.0026
2022-11-15,101472.0026,0.0,101472.0026
2022-11-16,101472.0026,0.0,101472.0026
2022-11-17,101472.0026,0.0,101472.0026
2022-11-18,101472.0026,0.0,101472.0026
2022-11-21,101472.0026,0.0,101472.0026
2022-11-22,101472.0026,0.0,101472.0026
2022-11-23,95092.8174,6412.722,101505.5394
2022-11-25,95092.8174,6367.8988,101460.7162
2022-11-28,95092.8174,6275.3683,101368.1857
2022-11-29,95092.8174,6265.5144,101358.3318
2022-11-30,95092.8174,6621.6966,101714.5141
2022-12-01,95092.8174,6618.3319,101711.1493
2022-12-02,95092.8174,6498.7633,101591.5807
2022-12-05,95092.8174,6376.6711,101469.4886
2022-12-06,95092.8174,6318.7495,101411.5669
2022-12-07,95092.8174,6230.7854,101323.6029
2022-12-08,95092.8174,6381.9586,101474.776
2022-12-09,95092.8174,6545.8697,101638.6872
2022-12-12,95092.8174,6688.9915,101781.809
2022-12-13,88676.3033,13307.0585,101983.3618
2022-12-14,88676.3033,13205.9799,101882.2831
2022-12-15,88676.3033,12750.939,101427.2423
2022-12-16,88676.3033,12589.95,101266.2533
2022-12-19,88676.3033,12456.5434,101132.8466
2022-12-20,88676.3033,12328.2964,101004.5997
2022-12-21,88676.3033,12685.1891,101361.4923
2022-12-22,94093.9306,6701.9079,100795.8386
2022-12-23,94093.9306,6693.9106,100787.8412
2022-12-27,94093.9306,6707.3607,100801.2913
2022-12-28,94093.9306,6602.5468,100696.4775
2022-12-29,94093.9306,6759.1012,100853.0318
2022-12-30,94093.9306,6775.0959,100869.0265
2023-01-03,94093.9306,6706.6336,100800.5643
2023-01-04,94093.9306,6788.546,100882.4766
2023-01-05,94093.9306,6725.2942,100819.2248
2023-01-06,94093.9306,7130.1302,101224.0608
2023-01-09,94093.9306,6990.2975,101084.2282
2023-01-10,94093.9306,6966.5478,101060.4785
2023-01-11,94093.9306,7005.4441,101099.3747
2023-01-12,87830.4449,13429.6634,101260.1082
2023-01-13,87830.4449,13379.3763,101209.8212
2023-01-17,87830.4449,13542.8385,101373.2833
2023-01-18,87830.4449,13518.0482,101348.4931
2023-01-19,87830.4449,13305.4665,101135.9113
2023-01-20,87830.4449,13589.8841,101420.3289
2023-01-23,81509.3456,20502.8418,102012.1874
2023-01-24,81509.3456,20487.5632,101996.9088
2023-01-25,81509.3456,20357.2853,101866.6309
2023-01-26,81509.3456,20750.6165,102259.9621
2023-01-27,81509.3456,20836.6186,102345.9642
2023-01-30,81509.3456,20304.7754,101814.1211
2023-01-31,81509.3456,20444.4549,101953.8006
2023-02-01,81509.3456,21278.69,102788.0357
2023-02-02,69196.8905,34580.1776,103777.0681
2023-02-03,69196.8905,33436.5576,102633.4481
2023-02-06,69196.8905,33162.6063,102359.4967
2023-02-07,69196.8905,34143.4904,103340.3808
2023-02-08,74970.3979,28139.6178,103110.0157
2023-02-09,74970.3979,28257.1384,103227.5363
2023-02-10,74970.3979,27713.2716,102683.6695
2023-02-13,74970.3979,28238.2396,103208.6375
2023-02-14,74970.3979,28806.0177,103776.4156
2023-02-15,74970.3979,28367.625,103338.0228
2023-02-16,74970.3979,27708.2741,102678.672
2023-02-17,74970.3979,27289.7538,102260.1517
2023-02-21,74970.3979,26561.7821,101532.18
2023-02-22,88684.0432,13095.0067,101779.05
2023-02-23,88684.0432,14151.1785,102835.2218
2023-02-24,88684.0432,13889.0572,102573.1004
2023-02-27,94751.7762,7888.0119,102639.7881
2023-02-28,94751.7762,7792.3529,102544.129
2023-03-01,94751.7762,7618.4883,102370.2645
2023-03-02,94751.7762,7825.2462,102577.0223
2023-03-03,87842.8942,14901.0239,102743.9181
2023-03-06,87842.8942,14789.9872,102632.8814
2023-03-07,87842.8942,14617.5198,102460.414
2023-03-08,87842.8942,14994.637,102837.5311
2023-03-09,87842.8942,14638.5977,102481.4918
2023-03-10,87842.8942,14396.8386,102239.7327
2023-03-13,87842.8942,14415.0123,102257.9065
2023-03-14,87842.8942,14957.1994,102800.0935
2023-03-15,87842.8942,14942.7609,102785.655
2023-03-16,81059.9789,22227.9918,103287.9707
2023-03-17,81059.9789,22308.3235,103368.3024
2023-03-20,81059.9789,22330.1869,103390.1658
2023-03-21,81059.9789,22442.4797,103502.4586
2023-03-22,81059.9789,22432.6056,103492.5845
2023-03-23,81059.9789,22897.2169,103957.1958
2023-03-24,81059.9789,22796.298,103856.2768
2023-03-27,81059.9789,22508.7265,103568.7054
2023-03-28,81059.9789,22416.6383,103476.6171
2023-03-29,81059.9789,22746.7634,103806.7423
2023-03-30,81059.9789,23057.3547,104117.3335
